Chemical Name,SMILES,Hydration Free Energy (kcal/mol),Train/Test
2-(ethylamino)-4-isopropylamino-6-methyl-thio-s-triazine(ametryn),CCNc1nc(NC(C)C)nc(SC)n1,-7.7,train
formaldehyde,C=O,-2.75,train
dibromomethane,BrCBr,-2.11,test
2-butanone,CCC(C)=O,-3.64,train
isobutylbenzene,CC(C)Cc1ccccc1,0.16,train
"1,2-ethanediamine",NCCN,-9.72,test
acetone,CC(C)=O,-3.85,train
dimethyl sulfate,COS(=O)(=O)OC,-5.1,train
"methyl2-(4-methoxy-6-methyl-1,3,5-triazin-2-ylcarbamoylsulfamoyl)benzoate(metsulfuronmethyl)",COC(=O)c1ccccc1[S](=O)(=O)NC(=O)Nc2nc(C)nc(OC)n2,-15.5,train
thiophene,s1cccc1,-1.42,test
trimethyl phosphate,COP(=O)(OC)OC,-8.7,train
m-xylene,Cc1cccc(C)c1,-0.84,train
"1,2,3,5-tetrachlorobenzene",c1c(cc(c(c1Cl)Cl)Cl)Cl,-1.62,train
"(2S,3R,4S,5R)-oxane-2,3,4,5-tetrol",C1[C@H]([C@@H]([C@H]([C@H](O1)O)O)O)O,-20.52,train
pyridine-4-carbaldehyde,c1cnccc1C=O,-7,test
chlorodifluoromethane,FC(F)Cl,-0.5,train
3-hydroxybenzonitrile,c1cc(cc(c1)O)C#N,-9.65,train
pyrrole,c1cc[nH]c1,-4.78,train
tetramethylsilane,C[Si](C)(C)C,3.04,train
3-methyl-1H-indole,Cc1c[nH]c2c1cccc2,-5.88,test
"2,2-dichloro-1,1-difluoro-1-methoxy-ethane",COC(C(Cl)Cl)(F)F,-1.12,train
1-ethyl-2-methylbenzene,CCc1ccccc1C,-0.85,train
pyrrolidine,C1CCNC1,-5.48,test
naphthalen-1-amine,c1ccc2c(c1)cccc2N,-7.28,train
1-iodopentane,CCCCCI,-0.12,train
"O,O-diethylS-ethylthiomethylphosphorodithioate(phorate)",CCO[P](=S)(OCC)SCSCC,-4.4,train
chloroethene,ClC=C,-0.59,test
1-bromopropane,CCCBr,-0.56,train
"cis-1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@@H]1C,1.58,train
diiodomethane,ICI,-2.49,train
"1,2,3,4-tetrachlorobenzene",c1cc(c(c(c1Cl)Cl)Cl)Cl,-1.34,train
2-butylnitrate,CCC(C)O[N+]([O-])=O,-1.8,train
diethyl propanedioate,CCOC(=O)CC(=O)OCC,-6,train
E-N-methylacetamide,CC(=O)NC,-10,train
2-methoxyethanamine,COCCN,-6.55,train
"N,N,4-trimethylbenzamide",CN(C)C(=O)c1ccc(C)cc1,-9.76,train
"1,2-diethoxyethane",CCOCCOCC,-3.54,test
butenyne,C=CC#C,0.04,test
"3,3,3-trimethoxypropanenitrile",COC(CC#N)(OC)OC,-6.4,train
1-(p-tolyl)ethanone,Cc1ccc(cc1)C(=O)C,-4.7,train
4-methylaniline,Cc1ccc(N)cc1,-5.55,train
3-chloropropene,ClCC=C,-0.57,train
t-butylmethylether,COC(C)(C)C,-2.21,train
dimethylamine,CNC,-4.29,train
hydrogensulfide,S,-0.7,test
bis(2-chloroethyl)ether,ClCCOCCCl,-4.23,test
1-chloro-2-phenyl-benzene,c1ccc(cc1)c2ccccc2Cl,-2.69,train
toluene,Cc1ccccc1,-0.89,train
methylpropanoate,CCC(=O)OC,-2.93,train
"6-chloro-N,N'-diethyl-1,3,5-triazine-2,4-diamine(simazine)",CCNc1nc(Cl)nc(NCC)n1,-10.2,train
octanal,CCCCCCCC=O,-2.29,train
2-methoxyphenol,COc1ccccc1O,-5.94,train
n-propane,CCC,1.96,test
n-pentane,CCCCC,2.33,test
2-chloropentane,CCCC(C)Cl,0.07,test
"(1R,2S,5R)-2-isopropyl-5-methylcyclohexanol",C[C@@H]1CC[C@H]([C@@H](C1)O)C(C)C,-3.2,train
methylacetate,COC(C)=O,-3.32,train
hexafluoroethane,FC(F)(F)C(F)(F)F,3.94,test
piperidine,C1CCNCC1,-5.11,train
"3,5-dichloro-2,6-dimethoxyphenol",COc1c(cc(c(c1O)OC)Cl)Cl,-6.44,test
"1-bromo-1,2,2,2-tetrafluoroethane",FC(Br)C(F)(F)F,0.52,test
N-(2-hydroxyphenyl)acetamide,CC(=O)Nc1ccccc1O,-11.61,test
ethion,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1,test
"phosphoricacid[(E)-2-chloro-1-(2,4-dichlorophenyl)vinyl]diethylester(chlorfenvinphos)",CCO[P](=O)(OCC)OC(=C\Cl)/c1ccc(Cl)cc1Cl,-7.1,test
propanoicacid,CCC(O)=O,-6.47,train
4-(1-Methylethenyl)-1-cyclohexene-1-carboxaldehyde,CC(=C)[C@H]1CCC(=CC1)C=O,-4.09,test
2-methyl-2-(methylthio)propanalO-(N-methylcarbamoyl)oxime(aldicarb),CNC(=O)O\N=C\C(C)(C)SC,-9.8,train
[2-benzhydryloxyethyl]-dimethyl-amine,CN(C)CCOC(c1ccccc1)c2ccccc2,-9.34,train
t-butanol,CC(C)(C)O,-4.51,test
"1,2-dichloroethane",C(CCl)Cl,-1.79,train
pentachloronitrobenzene,[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-5.22,train
methylhydrazine,CNN,-5.31,train
Amitriptyline,CN(C)CCC=C1c2ccccc2CCc3c1cccc3,-7.43,train
"(2S,5R)-2-isopropyl-5-methylcyclohexanone",C[C@@H]1CC[C@H](C(=O)C1)C(C)C,-2.53,train
fluorobenzene,Fc1ccccc1,-0.78,train
ethylamine,CCN,-4.5,train
"(1S,5R)-2-methyl-5-(1-methylethenyl)-2-cyclohexen-1-ol",CC1=CC[C@H](C[C@@H]1O)C(=C)C,-4.44,test
o-xylene,Cc1ccccc1C,-0.9,train
1-benzylimidazole,c1ccc(cc1)Cn2ccnc2,-7.63,train
4-chloro-3-methyl-phenol,Cc1cc(ccc1Cl)O,-6.79,train
"1,2,3,7-tetrachlorodibenzo-p-dioxin",c1cc2c(cc1Cl)Oc3cc(c(c(c3O2)Cl)Cl)Cl,-3.84,train
4-methoxyaniline,COc1ccc(cc1)N,-7.48,test
"1,2,3,4,7,8-hexachlorodibenzo-p-dioxin",c1c2c(cc(c1Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-3.71,train
1-pentene,CCCC=C,1.66,train
"O,O,O',O'-tetraethylS,S'-methylenebis(phosphorodithioate)(ethion)",CCO[P](=S)(OCC)SCS[P](=S)(OCC)OCC,-6.1,train
methyl3-methyl-4-thiomethoxyphenylthiophosphate,CO[P+](O)([S-])Oc1ccc(SC)c(C)c1,-6.92,train
nitroglycol,[O-][N+](=O)OCCO[N+]([O-])=O,-5.7,train
diethylpropanedioate,CCC(CC)(C([O-])=O)C([O-])=O,-6,train
"2,6-dimethylpyridine",Cc1cccc(C)n1,-4.6,train
"2,5-dimethylpyridine",Cc1ccc(C)nc1,-4.72,train
4-chloroaniline,c1cc(ccc1N)Cl,-5.9,train
"1,4,5,8-tetraminoanthraquinone",Nc1ccc(N)c2C(=O)c3c(N)ccc(N)c3C(=O)c12,-8.9,train
1-bromohexane,CCCCCCBr,0.18,test
octafluoropropane,FC(F)(F)C(F)(F)C(F)(F)F,4.28,train
4-chlorophenol,c1cc(ccc1O)Cl,-7.03,test
butanonitrile,CCCC#N,-3.64,test
paracetamol,CC(=O)Nc1ccc(O)cc1,-14.83,test
"1,3,5-trichloro-2-(2,6-dichlorophenyl)benzene",c1cc(c(c(c1)Cl)c2c(cc(cc2Cl)Cl)Cl)Cl,-1.96,train
"3-(dimethoxyphosphinothioylsulfanylmethyl)-1,2,3-benzotriazin-4-one",COP(=S)(OC)SCn1c(=O)c2ccccc2nn1,-10.03,test
difluorodichloromethane,FC(F)(Cl)Cl,1.69,train
diethylether,CCOCC,-1.76,train
2-bromopropane,CC(C)Br,-0.48,train
"1-bromo-1-chloro-2,2,2-trifluoroethane",FC(F)(F)C(Cl)Br,-0.13,train
methylperoxide,COOC,-5.28,train
butylnitrate,CCCCO[N+]([O-])=O,-2.1,train
"2,2-dimethylpropane",CC(C)(C)C,2.5,train
thioanisole,CSc1ccccc1,-2.73,train
2-(dimethoxyphosphinothioylthio)butanedioicaciddiethylester(malathion),CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC,-8.2,train
"1,2,3-trimethylbenzene",Cc1cccc(c1C)C,-1.21,train
fenbufen,OC(=O)CCC(=O)c1ccc(cc1)c2ccccc2,-12.75,train
propylparaben,CCCOC(=O)c1ccc(O)cc1,-9.37,train
N-methylpiperazine,CN1CCNCC1,-7.77,test
"1,1,1-trimethoxyethane",CC(OC)(OC)OC,-4.42,train
"1,1,1,2,2-pentachloroethane",C(C(Cl)(Cl)Cl)(Cl)Cl,-1.23,test
"1-(2-hydroxyethylamino)-9,10-anthraquinone",c1ccc2c(c1)C(=O)c3cccc(c3C2=O)NCCO,-14.21,train
trimethoxymethylbenzene,COC(c1ccccc1)(OC)OC,-4.04,train
tetrachloroethene,ClC(Cl)=C(Cl)Cl,0.05,train
chloromethane,CCl,-0.56,test
1-nitropropane,CCC[N+]([O-])=O,-3.34,train
o-chlorotoluene,Cc1ccccc1Cl,-1.15,test
dimethylether,COC,-1.92,train
ethene,C=C,1.27,train
pentanoicacid,CCCCC(O)=O,-6.16,train
1-naphthylmethylcarbamate(carbaryl),CNC(=O)Oc1cccc2ccccc12,-9.5,test
nitromethane,C[N+]([O-])=O,-3.95,train
nonane,CCCCCCCCC,3.13,train
methyl methanesulfonate,COS(=O)(=O)C,-4.87,train
3-bromopropene,BrCC=C,-0.86,test
"3,5-dibromo-4-hydroxybenzonitrile",Oc1c(Br)cc(cc1Br)C#N,-9,train
"2-chloro-1,1,1-trimethoxy-ethane",COC(CCl)(OC)OC,-4.59,train
nitroxyacetone,CC(=O)CO[N+]([O-])=O,-6,train
"2,3,7,8-tetrachlorodibenzo-p-dioxin",c1c2c(cc(c1Cl)Cl)Oc3cc(c(cc3O2)Cl)Cl,-3.37,train
decane,CCCCCCCCCC,3.16,test
methylbutanoate,CCCC(=O)OC,-2.83,train
ammonia,N,-4.29,test
"1,3-dimethylnaphthalene",Cc1cc(c2ccccc2c1)C,-2.47,train
"N-(3,4-dichlorophenyl)propanamide(propanil)",CCC(=O)Nc1ccc(Cl)c(Cl)c1,-7.8,train
1-amino-4-anilinoanthraquinone,Nc1ccc(Nc2ccccc2)c3C(=O)c4ccccc4C(=O)c13,-7.4,train
chlorobenzene,Clc1ccccc1,-1.12,train
phenacetin,CCOc1ccc(NC(C)=O)cc1,-10.91,test
3-phenylpropan-1-ol,c1ccc(cc1)CCCO,-6.92,train
3-chlorophenol,c1cc(cc(c1)Cl)O,-6.62,train
cumene,CC(C)c1ccccc1,-0.3,test
2-methylpyrazine,Cc1cnccn1,-5.57,train
"1,2,3-trichloro-5-(2,5-dichlorophenyl)benzene",c1cc(c(cc1Cl)c2cc(c(c(c2)Cl)Cl)Cl)Cl,-3.61,train
iodobenzene,Ic1ccccc1,-1.73,test
"O,O-dimethylS-[(4-oxo-1,2,3-benzotriazin-3(4H)-yl)methyl]dithiophosphate(azinphosmethyl)",CO[P](=S)(OC)SCN1N=Nc2ccccc2C1=O,-10,train
non-1-ene,CCCCCCCC=C,2.06,train
1-ethylnaphthalene,CCc1cccc2c1cccc2,-2.4,train
pyrene,c1cc2ccc3cccc4c3c2c(c1)cc4,-4.52,train
5-chlorouracil,ClC1=CNC(=O)NC1=O,-17.74,train
"3,5,5-trimethyl-2-cyclohexen-1-one(isophorone)",CC1=CC(=O)CC(C)(C)C1,-5.2,train
diclofenacacid,OC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,-6.3,train
"(1R,4S,4aS,5S,6S,7R,8R,8aR)-1,2,3,4,10,10-hexachloro-1,4,4a,5,6,7,8,8a-octahydro-6,7-epoxy-1,4:5,8-dimethanonaphthalene(endrin)",ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl,-5.5,train
"N-methyl-N-(2,2,2-trifluoroethyl)aniline",CN(CC(F)(F)F)c1ccccc1,-1.92,train
benzonitrile,N#Cc1ccccc1,-4.1,test
allylalcohol,OCC=C,-5.08,train
"3,4-dimethylpyridine",Cc1ccncc1C,-5.22,train
"1,2,3,4-tetrachloro-5-phenyl-benzene",c1ccc(cc1)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.48,train
methylamine,CN,-4.56,train
methyl 2-chloroacetate,COC(=O)CCl,-4,test
quinone,C1=CC(=O)C=CC1=O,-6.5,test
"O,O-diethylO-3,5,6-trichloro-2-pyridylphosphorothioate(chlorpyrifos)",CCO[P](=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,-5,train
4-methyl-2-methoxyphenol,Cc1ccc(c(c1)OC)O,-5.8,train
methyloctanoate,CCCCCCCC(=O)OC,-2.04,test
n-hexane,CCCCCC,2.49,train
"N,N-dimethylaniline",CN(C)c1ccccc1,-3.58,test
3-methoxyaniline,COc1cccc(c1)N,-7.29,test
2-hexanone,CCCCC(C)=O,-3.29,train
4-propylguaiacol,CCCc1ccc(c(c1)OC)O,-5.26,train
methylhexanoate,CCCCCC(=O)OC,-2.49,train
"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75,train
"3,4-dichlorophenol",c1cc(c(cc1O)Cl)Cl,-7.29,train
"1,1-difluoroethane",CC(F)F,-0.11,train
"1,2,3,4-tetrachloro-5-(3,4,5-trichlorophenyl)benzene",c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl,-3.17,test
"2,2',3'-trichlorobiphenyl",Clc1cccc(c1Cl)c2ccccc2Cl,-1.99,train
1-butene,CCC=C,1.38,train
"1,1,1,3,3,3-hexafluoropropan-2-ol",OC(C(F)(F)F)C(F)(F)F,-3.77,test
p-cresol,Cc1ccc(O)cc1,-6.14,train
"a,a,a-trifluoro-2,6-dinitro-N,N-dipropyl-p-toluidine(trifluralin)",CCCN(CCC)c1c(cc(cc1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O,-3.3,train
cyanuricacid,O=C1NC(=O)NC(=O)N1,-18.06,train
"1,2,3,4,5,6-hexachlorocyclohexane(lindane)",ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl,-5.4,test
1-propanol,CCCO,-4.83,train
"1,4-dichlorobenzene",Clc1ccc(Cl)cc1,-1.01,train
methanethiol,CS,-1.24,train
nonan-1-ol,CCCCCCCCCO,-3.88,train
"2,6-dimethoxyphenol",COc1cccc(c1O)OC,-6.96,train
cyclopentanol,OC1CCCC1,-5.49,train
"(2Z)-3,7-dimethylocta-2,6-dien-1-ol",CC(=CCC/C(=C\CO)/C)C,-4.78,train
1-bromoheptane,CCCCCCCBr,0.34,test
morpholine,C1COCCN1,-7.17,test
methylparaben,COC(=O)c1ccc(O)cc1,-9.51,train
pentylacetate,CCCCCOC(C)=O,-2.45,train
mesitylene,Cc1cc(cc(c1)C)C,-0.9,train
pyridine-3-carbonitrile,c1cc(cnc1)C#N,-6.75,train
"1,2-dimethoxybenzene",COc1ccccc1OC,-5.33,train
n-heptane,CCCCCCC,2.62,test
S-propyldipropyl(thiocarbamate)(vernolate),CCCSC(=O)N(CCC)CCC,-4.1,test
"1,2,3,4-tetrachloro-5-(2,3,4-trichlorophenyl)benzene",c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl,-4.4,train
p-dibromobenzene,Brc1ccc(Br)cc1,-2.3,train
pyridine-4-carbonitrile,c1cnccc1C#N,-6.02,train
urea,NC(N)=O,-13.8,train
"1,2,3-trichlorobenzene",c1cc(c(c(c1)Cl)Cl)Cl,-1.24,train
isobutylnitrate,CC(C)CO[N+]([O-])=O,-1.9,train
"(3R)-3,7-Dimethylocta-1,6-dien-3-yl acetate",CC(=CCC[C@](C)(C=C)OC(=O)C)C,-2.49,test
azetidine,C1CNC1,-5.56,train
4-nitrophenol,c1cc(ccc1[N+](=O)[O-])O,-10.64,test
1-bromo-isobutane,CC(C)CBr,-0.03,train
"1,2-dichlorobenzene",Clc1ccccc1Cl,-1.36,train
glycerol,C(C(CO)O)O,-13.43,train
naproxen,COc1ccc2cc(ccc2c1)C(C)C(O)=O,-10.21,train
waterdimer,O.O,-11.27,train
5-nonanone,CCCCC(=O)CCCC,-2.67,train
2-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3ccc(cc3O2)Cl,-3.1,test
"S-(RS)-2-chloro-1-phthalimidoethylO,O-diethylphosphorodithioate(dialifor)",CCO[P](=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,-5.7,train
methylbenzoate,COC(=O)c1ccccc1,-3.91,test
pyridine-3-carbaldehyde,c1cc(cnc1)C=O,-7.1,train
4-propylphenol,CCCc1ccc(cc1)O,-5.21,train
tolfenamicacid,Cc1c(cccc1Cl)Nc2ccccc2C(=O)O,-6.71,train
methanol,CO,-5.11,train
"2,2'-dichlorobiphenyl",Clc1ccccc1c2ccccc2Cl,-2.73,train
dimethoxymethane,COCOC,-2.93,train
2-ethoxyethyl acetate,CCOCCOC(=O)C,-5.31,train
"2,2,4-trimethylpentane",CC(C)CC(C)(C)C,2.85,train
4-ethylpyridine,CCc1ccncc1,-4.74,test
O-ethylO'-4-bromo-2-chlorophenylS-propylphosphorothioate,CCCSP(=O)(OCC)OC1=C(C=C(C=C1)Br)Cl,-4.09,test
"1-chloro-2,2,2-trifluoroethane",FC(F)(F)CCl,0.06,test
naphthalen-2-ol,c1ccc2cc(ccc2c1)O,-8.11,train
diethylsulfide,CCSCC,-1.43,test
propionitrile,CCC#N,-3.85,train
methylpropylether,CCCOC,-1.66,test
"methyl2-(4,6-dimethylpyrimidin-2-ylcarbamoylsulfamoyl)benzoate(sulfometuron-methyl)",COC(=O)c1ccccc1[S](=O)(=O)NC(=O)Nc2nc(C)cc(C)n2,-20.3,train
5-bromouracil,BrC1=CNC(=O)NC1=O,-18.17,test
triethylphosphate,CCO[P](=O)(OCC)OCC,-7.8,train
dibenzo-p-dioxin,c1ccc2c(c1)Oc3ccccc3O2,-3.15,train
"octachloro-4,7-methanohydroindane(chlordane)",ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,-3.4,test
methylformate,COC=O,-2.78,train
1-ethyl-4-methyl-benzene,CCc1ccc(cc1)C,-0.95,train
3-t-butyl-5-chloro-6-methyluracil(terbacil),CC1=C(Cl)C(=O)N(C(=O)N1)C(C)(C)C,-11.1,train
1-bromopentane,CCCCCBr,-0.08,train
1-bromooctane,CCCCCCCCBr,0.52,train
